Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code,Cuisine
cSRzfprFfAnT1nAcQMgrDA,Fred's Restaurant,476 Amsterdam Ave,"{'latitude': 40.7856233, 'longitude': -73.9767067}",776,4,10024,american
NTwOc9yQ1xl5deeVzZqxfw,Tavern29,47 E 29th St,"{'latitude': 40.74431, 'longitude': -73.98394}",921,4,10016,american
ePqKbqXFBCbwBaWiN2Jo9w,Ampersand,294 3rd Ave,"{'latitude': 40.7386178790617, 'longitude': -73.9834206895483}",219,4.5,10010,american
KkAtVVjnMfb1vGlcpzmhgw,Sweet Brooklyn Bar And Grill,608 Nostrand Ave,"{'latitude': 40.6778662988215, 'longitude': -73.9500002190471}",388,4,11216,american
hiTfA7vnxDSLv77nl6UQXQ,St. Anselm,355 Metropolitan Ave,"{'latitude': 40.7143299, 'longitude': -73.95604}",846,4,11211,american
pfmAcS-g6SiNG0KlLvrqnA,Beauty & Essex,146 Essex St,"{'latitude': 40.720414, 'longitude': -73.986887}",3502,4,10002,american
GA5msU6NO9rQRctPfDJCBg,Peaches HotHouse,415 Tompkins Ave,"{'latitude': 40.6833699737169, 'longitude': -73.9437798410654}",1212,4,11216,american
HqVdTKCpOZWrCvUF9rG2sA,Brennan & Carr,3432 Nostrand Ave,"{'latitude': 40.600247, 'longitude': -73.942094}",683,4,11229,american
fgtw4swOHXEFwZpBCG05rQ,Black Iron Burger,245 W 38th St,"{'latitude': 40.75427, 'longitude': -73.99031}",965,4,10018,american
38YuedP0ItlKbC-ncJ1XCQ,Tavern on Jane,31 8th Ave,"{'latitude': 40.73822, 'longitude': -74.00426}",408,4,10014,american
G18cPTEjuxXx957dGYBDAQ,Marlow & Sons,81 Broadway,"{'latitude': 40.7106126934043, 'longitude': -73.9658814005443}",529,4,11249,american
w5B0FmQoEOoeURoFuguh0w,The Brew Inn,924 Manhattan Ave,"{'latitude': 40.731044, 'longitude': -73.954101}",155,4,11222,american
0moBSyrTezcT3uePV74nug,Westville Hell's Kitchen,809 9th Ave,"{'latitude': 40.76577, 'longitude': -73.9875}",143,4.5,10019,american
4hukJNoy9F2ILYJZWl4Xlw,Set LES,127 Ludlow St,"{'latitude': 40.7198495417833, 'longitude': -73.9885318279266}",460,4,10002,american
Ssi8ht_p9rXY03Rwld6EKw,Vestry,246 Spring St,"{'latitude': 40.725693, 'longitude': -74.005516}",10,5,10013,american
xI0H0K1MAq1U6NTp1xFreA,Midnights,149 N 6th St,"{'latitude': 40.71748, 'longitude': -73.95843}",214,4,11249,american
w9I5sGHkwOyLe1yFQ0XBeg,Silver Light Tavern,689 Lorimer St,"{'latitude': 40.71747, 'longitude': -73.95005}",62,4.5,11211,american
2_oy2iBeT0Rg-oz4f0GF1A,The Jeffrey Craft Beer & Bites,311 E 60th St,"{'latitude': 40.7611, 'longitude': -73.963}",683,4,10022,american
